Time,EGM Signal 1,EGM Signal 2
0,333.0,1998.0
1,262.0,1834.0
2,251.0,502.0
3,243.0,1458.0
4,241.0,1205.0
5,236.0,472.0
6,237.0,1185.0
7,234.0,1404.0
8,234.0,0.0
9,232.0,2088.0
10,233.0,699.0
11,231.0,231.0
12,232.0,1160.0
13,230.0,1840.0
14,231.0,924.0
15,230.0,0.0
16,231.0,924.0
17,230.0,1380.0
18,230.0,1610.0
19,229.0,0.0
20,230.0,2070.0
21,229.0,1374.0
22,230.0,2070.0
23,229.0,1145.0
24,229.0,229.0
25,229.0,2061.0
26,229.0,229.0
27,229.0,0.0
28,229.0,1374.0
29,229.0,1145.0
30,229.0,458.0
31,230.0,460.0
32,228.0,1368.0
33,230.0,460.0
34,228.0,1140.0
35,230.0,0.0
36,228.0,1824.0
37,230.0,230.0
38,228.0,1140.0
39,230.0,1380.0
40,228.0,1596.0
41,230.0,230.0
42,228.0,0.0
43,230.0,2070.0
44,228.0,1824.0
45,230.0,460.0
46,228.0,2052.0
47,229.0,458.0
48,228.0,2052.0
49,230.0,1610.0
50,228.0,684.0
51,229.0,1145.0
52,228.0,456.0
53,229.0,687.0
54,228.0,1140.0
55,229.0,0.0
56,228.0,912.0
57,229.0,0.0
58,228.0,684.0
59,229.0,458.0
60,228.0,2052.0
61,228.0,1596.0
62,229.0,1374.0
63,228.0,684.0
64,229.0,916.0
65,228.0,912.0
66,229.0,229.0
67,228.0,0.0
68,229.0,458.0
69,228.0,456.0
70,229.0,458.0
71,228.0,1368.0
72,229.0,1374.0
73,227.0,1816.0
74,229.0,1145.0
75,228.0,1824.0
76,229.0,1145.0
77,227.0,0.0
78,229.0,687.0
79,227.0,908.0
80,229.0,229.0
81,227.0,681.0
82,229.0,1603.0
83,227.0,1362.0
84,229.0,229.0
85,227.0,908.0
86,228.0,0.0
87,227.0,908.0
88,228.0,684.0
89,227.0,1362.0
90,228.0,1596.0
91,227.0,681.0
92,228.0,1368.0
93,227.0,1362.0
94,228.0,684.0
95,228.0,228.0
96,228.0,1596.0
97,228.0,228.0
98,228.0,2052.0
99,228.0,1368.0
100,227.0,1816.0
101,228.0,1140.0
102,227.0,908.0
103,228.0,684.0
104,227.0,2043.0
105,228.0,1368.0
106,227.0,2043.0
107,228.0,456.0
108,227.0,454.0
109,228.0,0.0
110,227.0,227.0
111,228.0,1368.0
112,226.0,678.0
113,228.0,1140.0
114,226.0,678.0
115,228.0,684.0
116,226.0,2034.0
117,227.0,681.0
118,225.0,900.0
119,225.0,675.0
120,223.0,1784.0
121,224.0,1568.0
122,223.0,0.0
123,224.0,2016.0
124,223.0,446.0
125,224.0,672.0
126,223.0,892.0
127,224.0,672.0
128,223.0,1115.0
129,224.0,672.0
130,224.0,1792.0
131,224.0,1120.0
132,224.0,1568.0
133,225.0,1125.0
134,225.0,1800.0
135,225.0,2025.0
136,226.0,1582.0
137,225.0,1800.0
138,226.0,452.0
139,226.0,226.0
140,227.0,908.0
141,226.0,0.0
142,227.0,1135.0
143,226.0,1356.0
144,228.0,0.0
145,227.0,454.0
146,228.0,2052.0
147,227.0,681.0
148,229.0,1832.0
149,227.0,1816.0
150,228.0,456.0
151,227.0,454.0
152,228.0,912.0
153,227.0,454.0
154,229.0,1374.0
155,227.0,227.0
156,229.0,2061.0
157,228.0,456.0
158,229.0,0.0
159,228.0,456.0
160,229.0,1374.0
161,228.0,1824.0
162,229.0,2061.0
163,228.0,1824.0
164,229.0,2061.0
165,228.0,1596.0
166,228.0,912.0
167,228.0,912.0
168,229.0,1603.0
169,229.0,2061.0
170,229.0,1603.0
171,230.0,690.0
172,231.0,693.0
173,232.0,0.0
174,231.0,693.0
175,233.0,1165.0
176,231.0,1386.0
177,233.0,0.0
178,231.0,1155.0
179,233.0,1165.0
180,231.0,1848.0
181,233.0,1864.0
182,231.0,0.0
183,233.0,233.0
184,231.0,0.0
185,233.0,233.0
186,231.0,0.0
187,232.0,0.0
188,230.0,690.0
189,232.0,1392.0
190,230.0,1150.0
191,231.0,1155.0
192,230.0,690.0
193,231.0,1617.0
194,229.0,1832.0
195,230.0,460.0
196,228.0,1368.0
197,228.0,912.0
198,224.0,896.0
199,225.0,1125.0
200,223.0,1784.0
201,224.0,896.0
202,223.0,1561.0
203,224.0,896.0
204,224.0,1120.0
205,225.0,0.0
206,226.0,226.0
207,226.0,1582.0
208,227.0,1135.0
209,228.0,456.0
210,229.0,1603.0
211,229.0,229.0
212,231.0,462.0
213,230.0,0.0
214,232.0,696.0
215,231.0,693.0
216,233.0,699.0
217,231.0,0.0
218,233.0,1864.0
219,232.0,1392.0
220,234.0,234.0
221,232.0,928.0
222,234.0,936.0
223,231.0,2079.0
224,233.0,1631.0
225,231.0,1617.0
226,233.0,0.0
227,231.0,693.0
228,232.0,696.0
229,230.0,1150.0
230,231.0,1848.0
231,231.0,231.0
232,233.0,0.0
233,232.0,1856.0
234,235.0,1410.0
235,234.0,1638.0
236,235.0,1880.0
237,234.0,1170.0
238,235.0,940.0
239,234.0,1404.0
240,234.0,468.0
241,234.0,1638.0
242,233.0,233.0
243,233.0,2097.0
244,232.0,0.0
245,232.0,1160.0
246,231.0,231.0
247,232.0,1624.0
248,231.0,1617.0
249,231.0,1155.0
250,230.0,230.0
251,230.0,1610.0
252,227.0,0.0
253,228.0,0.0
254,226.0,226.0
255,227.0,681.0
256,226.0,1130.0
257,227.0,1589.0
258,226.0,2034.0
259,228.0,1596.0
260,226.0,1356.0
261,228.0,2052.0
262,226.0,904.0
263,228.0,2052.0
264,227.0,454.0
265,229.0,1603.0
266,228.0,2052.0
267,230.0,0.0
268,229.0,1374.0
269,231.0,1386.0
270,230.0,920.0
271,231.0,2079.0
272,231.0,462.0
273,231.0,1386.0
274,231.0,1617.0
275,231.0,1617.0
276,231.0,462.0
277,231.0,924.0
278,231.0,1155.0
279,230.0,1150.0
280,230.0,1610.0
281,230.0,0.0
282,230.0,2070.0
283,229.0,458.0
284,230.0,230.0
285,229.0,229.0
286,230.0,920.0
287,228.0,228.0
288,230.0,230.0
289,228.0,1824.0
290,230.0,2070.0
291,228.0,1368.0
292,229.0,1145.0
293,227.0,0.0
294,229.0,458.0
295,227.0,227.0
296,229.0,687.0
297,227.0,454.0
298,229.0,916.0
299,227.0,2043.0
300,228.0,0.0
301,227.0,908.0
302,229.0,1832.0
303,227.0,2043.0
304,228.0,1140.0
305,227.0,1589.0
306,228.0,1824.0
307,227.0,908.0
308,228.0,1824.0
309,227.0,908.0
310,228.0,456.0
311,228.0,1596.0
312,228.0,2052.0
313,227.0,2043.0
314,227.0,1362.0
315,228.0,1824.0
316,227.0,2043.0
317,228.0,0.0
318,227.0,2043.0
319,228.0,2052.0
320,227.0,454.0
321,228.0,1824.0
322,227.0,1816.0
323,228.0,912.0
324,227.0,227.0
325,228.0,1596.0
326,227.0,1362.0
327,228.0,2052.0
328,227.0,2043.0
329,229.0,1145.0
330,229.0,916.0
331,233.0,1165.0
332,232.0,232.0
333,236.0,1416.0
334,234.0,1638.0
335,237.0,948.0
336,234.0,1638.0
337,236.0,236.0
338,234.0,1872.0
339,235.0,1645.0
340,232.0,0.0
341,232.0,0.0
342,227.0,681.0
343,226.0,2034.0
344,224.0,896.0
345,225.0,1125.0
346,225.0,675.0
347,226.0,678.0
348,228.0,0.0
349,230.0,2070.0
350,231.0,462.0
351,232.0,1856.0
352,232.0,232.0
353,232.0,1624.0
354,233.0,1864.0
355,232.0,2088.0
356,233.0,1165.0
357,231.0,1155.0
358,233.0,1631.0
359,231.0,1155.0
360,232.0,1856.0
361,230.0,1150.0
362,232.0,928.0
363,230.0,1840.0
364,231.0,2079.0
365,229.0,1832.0
366,231.0,1386.0
367,229.0,458.0
368,230.0,1610.0
369,228.0,684.0
370,230.0,1380.0
371,228.0,1596.0
372,230.0,460.0
373,228.0,912.0
374,230.0,2070.0
375,228.0,912.0
376,230.0,0.0
377,228.0,1824.0
378,229.0,1374.0
379,228.0,228.0
380,229.0,1603.0
381,228.0,2052.0
382,229.0,2061.0
383,228.0,912.0
384,229.0,687.0
385,228.0,1824.0
386,228.0,1596.0
387,228.0,1368.0
388,228.0,456.0
389,228.0,1368.0
390,228.0,2052.0
391,228.0,912.0
392,228.0,1368.0
393,229.0,458.0
394,228.0,1140.0
395,229.0,1832.0
